scale,seed,evaluation,mode,region,worst_shortage_rate,fill_rate,number_eligible_warehouses,number_actually_used_warehouses,total_inbound_shipment
small,191,fixed_first_stage,k1,2,0.601593625498008,0.398406374501992,1,1,6367.241773501187
small,191,fixed_first_stage,k1,3,0.4220712422745431,0.5779287577254568,1,1,10491.248583644117
small,191,fixed_first_stage,k2,0,0.24113531004327413,0.7588646899567258,2,2,13002.952947136697
small,191,fixed_first_stage,k2,1,0.24113531004327413,0.7588646899567258,2,2,12149.864591474481
small,191,fixed_first_stage,k2,2,0.24113531004327413,0.7588646899567258,2,2,11490.859897993825
small,191,fixed_first_stage,k2,3,0.24113531004327413,0.7588646899567258,2,2,12999.597442464647
small,191,fixed_first_stage,full,0,0.14166754707854426,0.8583324529214558,3,3,13243.260003211146
small,191,fixed_first_stage,full,1,0.14166754707854426,0.8583324529214558,3,3,12125.008398425134
small,191,fixed_first_stage,full,2,0.14166754707854426,0.8583324529214558,3,3,11294.794513342275
small,191,fixed_first_stage,full,3,0.1416675470785443,0.8583324529214558,3,3,14703.761909492221
small,192,reoptimized,k1,0,0.27902207214799546,0.7209779278520045,1,1,12412.407142423037
small,192,reoptimized,k1,1,0.27902207214799546,0.7209779278520045,1,1,10788.563569253327
small,192,reoptimized,k1,2,0.18982141857369533,0.8101785814263047,1,1,13821.457883809742
small,192,reoptimized,k1,3,0.2412457075868941,0.7587542924131059,1,1,17455.815777103202
small,192,reoptimized,k2,0,0.11822235434314975,0.8817776456568502,2,2,14441.244599494059
small,192,reoptimized,k2,1,0.11822235434314976,0.8817776456568502,2,2,12456.837944240782
small,192,reoptimized,k2,2,0.11822235434314975,0.8817776456568502,2,2,12973.9661363159
small,192,reoptimized,k2,3,0.11822235434314976,0.8817776456568502,2,2,18155.525598312965
small,192,reoptimized,full,0,0.062442673206946825,0.9375573267930531,3,3,15315.335778825422
small,192,reoptimized,full,1,0.062442673206946825,0.9375573267930531,3,3,13261.48359735794
small,192,reoptimized,full,2,0.06244267320694682,0.9375573267930531,3,3,13957.826477914065
small,192,reoptimized,full,3,0.062442673206946825,0.9375573267930531,3,3,19352.002193662447
small,192,fixed_first_stage,k1,0,0.652701882210079,0.34729811778992103,1,1,5617.872683667278
small,192,fixed_first_stage,k1,1,0.6527018822100791,0.3472981177899209,1,1,5435.355731633273
small,192,fixed_first_stage,k1,2,0.3614020500892501,0.6385979499107499,1,1,10416.66669424139
small,192,fixed_first_stage,k1,3,0.49672826057608765,0.5032717394239123,1,1,11573.979415469226
small,192,fixed_first_stage,k2,0,0.4506492327249615,0.5493507672750385,2,2,9740.895962902678
small,192,fixed_first_stage,k2,1,0.4506492327249615,0.5493507672750385,2,2,8149.026004690401
small,192,fixed_first_stage,k2,2,0.45064923272496155,0.5493507672750384,2,2,9062.677393550974
small,192,fixed_first_stage,k2,3,0.4506492327249615,0.5493507672750385,2,2,13026.792476478382
small,192,fixed_first_stage,full,0,0.062442673206946825,0.9375573267930531,3,3,15303.52806328629
small,192,fixed_first_stage,full,1,0.062442673206946825,0.9375573267930531,3,3,13302.184225756913
small,192,fixed_first_stage,full,2,0.062442673206946825,0.9375573267930531,3,3,13860.122197057479
small,192,fixed_first_stage,full,3,0.06244267320694683,0.9375573267930531,3,3,19082.595850047674
