scale,gamma,comparison_type,metric,statistic,value,seed_count
medium_large,1,level,actual_price_of_fairness,mean,0.019758858812472146,5
medium_large,1,level,actual_price_of_fairness,median,0.020490745831441393,5
medium_large,1,level,actual_price_of_fairness,std,0.005550245426791347,5
medium_large,1,level,actual_price_of_fairness,iqr,0.00928820680007103,5
medium_large,1,level,actual_price_of_fairness,min,0.012591755030991747,5
medium_large,1,level,actual_price_of_fairness,max,0.02499999999999969,5
medium_large,1,level,objective_t,mean,0.054493238100772154,5
medium_large,1,level,objective_t,median,0.007379603401655689,5
medium_large,1,level,objective_t,std,0.07300115440895918,5
medium_large,1,level,objective_t,iqr,0.08904988515671891,5
medium_large,1,level,objective_t,min,0.0,5
medium_large,1,level,objective_t,max,0.16461268954375616,5
medium_large,1,level,robust_minimum_fill_rate,mean,0.9455067618992278,5
medium_large,1,level,robust_minimum_fill_rate,median,0.9926203965983443,5
medium_large,1,level,robust_minimum_fill_rate,std,0.07300115440895921,5
medium_large,1,level,robust_minimum_fill_rate,iqr,0.08904988515671897,5
medium_large,1,level,robust_minimum_fill_rate,min,0.8353873104562438,5
medium_large,1,level,robust_minimum_fill_rate,max,1.0,5
medium_large,1,level,wminfr,mean,0.9455067618992278,5
medium_large,1,level,wminfr,median,0.9926203965983443,5
medium_large,1,level,wminfr,std,0.07300115440895923,5
medium_large,1,level,wminfr,iqr,0.08904988515671886,5
medium_large,1,level,wminfr,min,0.8353873104562437,5
medium_large,1,level,wminfr,max,1.0,5
medium_large,1,level,minimum_weighted_mean_fill_rate,mean,0.9455067618992279,5
medium_large,1,level,minimum_weighted_mean_fill_rate,median,0.9926203965983443,5
medium_large,1,level,minimum_weighted_mean_fill_rate,std,0.0730011544089592,5
medium_large,1,level,minimum_weighted_mean_fill_rate,iqr,0.08904988515671886,5
medium_large,1,level,minimum_weighted_mean_fill_rate,min,0.8353873104562438,5
medium_large,1,level,minimum_weighted_mean_fill_rate,max,1.0,5
medium_large,1,level,inventory,mean,3768.1579793877963,5
medium_large,1,level,inventory,median,3913.1,5
medium_large,1,level,inventory,std,402.71113993066814,5
medium_large,1,level,inventory,iqr,419.3359059151494,5
medium_large,1,level,inventory,min,3149.5354685166076,5
medium_large,1,level,inventory,max,4160.274558771868,5
medium_large,1,level,opened_warehouses,mean,6.0,5
medium_large,1,level,opened_warehouses,median,6.0,5
medium_large,1,level,opened_warehouses,std,0.0,5
medium_large,1,level,opened_warehouses,iqr,0.0,5
medium_large,1,level,opened_warehouses,min,6.0,5
medium_large,1,level,opened_warehouses,max,6.0,5
medium_large,1,level,algorithm_runtime,mean,2.786436519995914,5
medium_large,1,level,algorithm_runtime,median,2.001728399991407,5
medium_large,1,level,algorithm_runtime,std,1.5364296830569606,5
medium_large,1,level,algorithm_runtime,iqr,1.8687028999993345,5
medium_large,1,level,algorithm_runtime,min,1.349679399994784,5
medium_large,1,level,algorithm_runtime,max,5.0261318999982905,5
medium_large,1,level,master_runtime,mean,0.6749238999997033,5
medium_large,1,level,master_runtime,median,0.511831700001494,5
medium_large,1,level,master_runtime,std,0.3357148712479758,5
medium_large,1,level,master_runtime,iqr,0.5543621000106214,5
medium_large,1,level,master_runtime,min,0.3924451999919256,5
medium_large,1,level,master_runtime,max,1.1116467000101693,5
medium_large,1,level,separation_runtime,mean,1.974371060001431,5
medium_large,1,level,separation_runtime,median,1.349824599994463,5
medium_large,1,level,separation_runtime,std,1.1914368013344692,5
medium_large,1,level,separation_runtime,iqr,1.3174020999867935,5
medium_large,1,level,separation_runtime,min,0.8181358000001637,5
medium_large,1,level,separation_runtime,max,3.730236600007629,5
medium_large,1,level,post_evaluation_wall_runtime,mean,0.32007609999564013,5
medium_large,1,level,post_evaluation_wall_runtime,median,0.28529189999972004,5
medium_large,1,level,post_evaluation_wall_runtime,std,0.08717808101545338,5
medium_large,1,level,post_evaluation_wall_runtime,iqr,0.06030080000346061,5
medium_large,1,level,post_evaluation_wall_runtime,min,0.2516627999866614,5
medium_large,1,level,post_evaluation_wall_runtime,max,0.46744060001219623,5
medium_large,1,level,total_wall_runtime,mean,3.148073619991192,5
medium_large,1,level,total_wall_runtime,median,2.527793599976576,5
medium_large,1,level,total_wall_runtime,std,1.5311978622961024,5
medium_large,1,level,total_wall_runtime,iqr,1.8426272999786306,5
medium_large,1,level,total_wall_runtime,min,1.6530100999807473,5
medium_large,1,level,total_wall_runtime,max,5.395720300002722,5
medium_large,1,level,penalized_runtime_par2,mean,2.786436519995914,5
medium_large,1,level,penalized_runtime_par2,median,2.001728399991407,5
medium_large,1,level,penalized_runtime_par2,std,1.5364296830569606,5
medium_large,1,level,penalized_runtime_par2,iqr,1.8687028999993345,5
medium_large,1,level,penalized_runtime_par2,min,1.349679399994784,5
medium_large,1,level,penalized_runtime_par2,max,5.0261318999982905,5
medium_large,1,level,iterations,mean,2.0,5
medium_large,1,level,iterations,median,2.0,5
medium_large,1,level,iterations,std,1.0,5
medium_large,1,level,iterations,iqr,2.0,5
medium_large,1,level,iterations,min,1.0,5
medium_large,1,level,iterations,max,3.0,5
medium_large,1,level,scenario_block_count,mean,12.0,5
medium_large,1,level,scenario_block_count,median,12.0,5
medium_large,1,level,scenario_block_count,std,1.0,5
medium_large,1,level,scenario_block_count,iqr,2.0,5
medium_large,1,level,scenario_block_count,min,11.0,5
medium_large,1,level,scenario_block_count,max,13.0,5
medium_large,1,level,certified_farkas_cut_count,mean,1.0,5
medium_large,1,level,certified_farkas_cut_count,median,1.0,5
medium_large,1,level,certified_farkas_cut_count,std,1.0,5
medium_large,1,level,certified_farkas_cut_count,iqr,2.0,5
medium_large,1,level,certified_farkas_cut_count,min,0.0,5
medium_large,1,level,certified_farkas_cut_count,max,2.0,5
medium_large,2,level,baseline_robust_cost,mean,20281.763385806003,5
medium_large,2,level,baseline_robust_cost,median,18001.624992270536,5
medium_large,2,level,baseline_robust_cost,std,5242.496191972425,5
medium_large,2,level,baseline_robust_cost,iqr,3371.658637966764,5
medium_large,2,level,baseline_robust_cost,min,16195.5483015357,5
medium_large,2,level,baseline_robust_cost,max,29178.573691642436,5
