scale,rho,seed_count,metric,label,unit,mean,median,standard_deviation,iqr,min,max
medium_large,0.1,10,wgap,Post-evaluation worst fill-rate range,fraction,0.048792843925165995,0.042917458466483815,0.034995969170100456,0.062183490233877786,0.004198394543476702,0.10411955321596267
medium_large,0.1,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9498131644457521,0.957082541533516,0.03762364690115765,0.06218349023387715,0.881940530493222,0.9958016054565233
medium_large,0.1,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.014762030659278735,0.016779241365751485,0.004418298471040823,0.003693429867401482,0.003778409163183283,0.01823691643181169
large,0.0,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,6.661338147750939e-17,2.220446049250313e-16,3.8884230758414213e-16,2.220446049250313e-16,-7.771561172376096e-16,6.661338147750939e-16
large,0.0,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,31283.239330910845,27050.693610358787,9897.411252335398,8094.534946740561,23593.946009630872,50979.16172795266
large,0.0,10,algorithm_runtime,Algorithm runtime,seconds,76.5302649500547,81.99565490009263,26.250418981154333,38.899927150050644,39.04639680008404,115.07101029995829
large,0.0,10,cut_count,Certified Farkas cuts,count,7.7,9.0,2.9078437983419185,4.75,3.0,11.0
large,0.0,10,iterations,Algorithm iterations,count,8.7,10.0,2.9078437983419185,4.75,4.0,12.0
large,0.0,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9209968783966402,0.9454466364503524,0.07654726429397003,0.11175271214387916,0.7916205046286138,0.9899685119611149
large,0.0,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.23603469984584566,0.18948344321881821,0.14662465705106523,0.19720222320976855,0.0851216949537126,0.5297192898893928
large,0.0,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,76.5302649500547,81.99565490009263,26.250418981154333,38.899927150050644,39.04639680008404,115.07101029995829
large,0.0,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,32.1972444802057,32.2731981521938,0.972897597402887,0.4308089248370379,30.060272998875007,34.001662399154156
large,0.0,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.7639653001541543,0.8105165567811818,0.14662465705106523,0.19720222320976866,0.47028071011060724,0.9148783050462874
large,0.0,10,scenario_count,Committed master scenario blocks,count,20.7,22.0,2.9078437983419185,4.75,16.0,24.0
large,0.0,10,total_wall_runtime,Total wall time,seconds,131.8450028801104,136.8201277530752,27.446479576989333,44.031682750268374,92.08667240082286,172.66078800032847
large,0.0,10,wgap,Post-evaluation worst fill-rate range,fraction,0.2360346998458457,0.18948344321881821,0.14662465705106523,0.19720222320976868,0.08512169495371258,0.5297192898893928
large,0.0,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.7639653001541543,0.8105165567811818,0.14662465705106523,0.19720222320976866,0.47028071011060724,0.9148783050462874
large,0.0,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.16250915338736455,0.14205486869769435,0.07576350957781844,0.08694085176443181,0.07862617615598189,0.327910077695717
large,0.01,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.010000000000000365,0.010000000000000231,3.8029527907997864e-16,3.885780586188048e-16,0.010000000000000009,0.010000000000001119
large,0.01,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,31596.071724219964,27321.200546462373,9996.385364858768,8175.480296207974,23829.885469727193,51488.9533452322
large,0.01,10,algorithm_runtime,Algorithm runtime,seconds,75.28985698001925,72.05851234984584,23.900313538222445,31.877924174943473,41.095043500186875,113.81008310010657
large,0.01,10,cut_count,Certified Farkas cuts,count,7.0,7.5,2.6666666666666665,4.0,3.0,10.0
large,0.01,10,iterations,Algorithm iterations,count,8.0,8.5,2.6666666666666665,4.0,4.0,11.0
