actual_price_of_fairness,actual_robust_cost,algorithm_runtime,cut_count,iterations,minimum_weighted_mean_fill_rate,objective_t,penalized_runtime_par2,post_evaluation_wall_runtime,rho,robust_minimum_fill_rate,scale,scenario_count,scientific_status,seed,total_wall_runtime,wgap,wminfr,wwd
0.050000000000000266,19318.016505866326,18.264598699985072,5,6,0.9487385795114773,0.05126142048852259,18.264598699985072,7.760898800101131,0.05,0.9487385795114774,medium_large,16,certified_robust_optimal,172,30.974033599952236,0.051261420488523446,0.9487385795114766,0.017121630337521343
0.05000000000000093,24624.9766026827,18.155267900088802,4,5,0.8740684531899902,0.1259315468100099,18.155267900088802,6.8203988005407155,0.05,0.87406845318999,medium_large,15,certified_robust_optimal,173,29.212624999927357,0.12365797987547889,0.87406845318999,0.01643914315268158
0.027921262151440196,18864.18209367479,32.1587238998618,9,10,0.98732156488784,0.012678435112159997,32.1587238998618,6.789845799794421,0.05,0.98732156488784,medium_large,20,certified_robust_optimal,174,43.80851489980705,0.012678435112160047,0.9873215648878398,0.011493128600032487
0.04604827016495583,18039.132820063092,16.409466499928385,4,5,0.9854770252731102,0.014522974726889808,16.409466499928385,6.732035398017615,0.05,0.9854770252731102,medium_large,15,certified_robust_optimal,175,28.047576097538695,0.014522974726889792,0.9854770252731101,0.013031354155136898
0.04996261874064545,20448.206102376287,12.327032800065354,3,4,0.9245363226236191,0.0754636773763809,12.327032800065354,6.921784500125796,0.05,0.9245363226236191,medium_large,14,certified_robust_optimal,176,24.200027901446447,0.06274737765287641,0.9245363226236185,0.016945937500869257
0.05000000000000315,19580.14669711822,23.23465869994834,6,7,0.9153240156649436,0.0846759843350561,23.23465869994834,6.978435800876468,0.05,0.9153240156649439,medium_large,17,certified_robust_optimal,177,34.74303300189786,0.0782101283613933,0.915324015664941,0.015988327941857006
0.05000000000000049,22803.622170651695,19.124823699938133,5,6,0.9121315487646244,0.08786845123537551,19.124823699938133,7.034129400271922,0.05,0.9121315487646244,medium_large,16,certified_robust_optimal,178,30.92443379992619,0.08786845123537557,0.912131548764624,0.01753272255162841
0.05000000000000049,18028.204099632796,13.675219400087371,3,4,0.9711857978872399,0.028814202112759955,13.675219400087371,6.9659581002779305,0.05,0.97118579788724,medium_large,14,certified_robust_optimal,179,24.936227900208905,0.02881420211275998,0.9711857978872386,0.01994372095188901
0.07882660441346045,20243.336690603603,16.895355799933895,3,4,0.9649376004019818,0.035062399598018094,16.895355799933895,7.545383300166577,0.1,0.964937600401982,medium_large,14,certified_robust_optimal,170,29.303831200581044,0.03506239959801816,0.9649376004019816,0.017372352270679237
0.038012920922931404,15915.262910116886,21.03855250007473,6,7,0.9958016054565233,0.004198394543476649,21.03855250007473,9.787594700232148,0.1,0.9958016054565233,medium_large,17,certified_robust_optimal,171,36.708717197878286,0.004198394543476702,0.9958016054565233,0.003778409163183283
