scale,seed,actual_robust_cost_rho_000,actual_robust_cost_rho_001,actual_robust_cost_change,robust_minimum_fill_rate_rho_000,robust_minimum_fill_rate_rho_001,robust_minimum_fill_rate_change,wminfr_rho_000,wminfr_rho_001,wminfr_change,actual_price_of_fairness_rho_000,actual_price_of_fairness_rho_001,budget_utilization_rho_000,budget_utilization_rho_001,budget_slack_rho_000,budget_slack_rho_001,opened_warehouses_rho_000,opened_warehouses_rho_001,opened_warehouse_change,y_vector_l1_change,x_inventory_l1_change,discrete_first_stage_configuration_switch
large,170,25541.011781173504,25796.42189898523,255.4101178117271,0.831181967556366,0.9573805328238203,0.12619856526745432,0.831181967556366,0.9573805328238203,0.12619856526745432,6.661338147750939e-16,0.010000000000000231,1.0000000000000007,1.0000000000000002,-1.4551915228366852e-11,-7.275957614183426e-12,8,8,0,0.0,554.425243781892,False
large,171,29379.13279849213,29672.924126477054,293.79132798492356,0.6595134263943088,0.8909912130932112,0.2314777866989024,0.6595134263943088,0.8909912130932112,0.2314777866989024,0.0,0.010000000000000009,1.0,1.0000000000000002,0.0,-3.637978807091713e-12,8,8,0,0.0,436.37881038145906,False
large,172,50979.16172795266,51488.9533452322,509.7916172795376,0.47028071011060724,0.7351130650820694,0.2648323549714622,0.47028071011060724,0.7351130650820693,0.26483235497146207,0.0,0.010000000000000231,1.0,1.0000000000000002,0.0,-7.275957614183426e-12,8,8,0,0.0,786.4622374812665,False
large,173,28560.375439544074,28845.979193939518,285.6037543954444,0.7898511460059976,0.9282830780772917,0.13843193207129412,0.7898511460059976,0.9282830780772914,0.13843193207129378,2.220446049250313e-16,0.010000000000000453,1.0000000000000002,1.0000000000000004,-7.275957614183426e-12,-1.0913936421275139e-11,8,8,0,0.0,684.99138449181,False
large,174,33891.159079832956,34230.07067063129,338.91159079833596,0.7379796648305011,0.8373413472458275,0.09936168241532639,0.7379796648305011,0.8373413472458273,0.09936168241532617,2.220446049250313e-16,0.010000000000000453,1.0000000000000002,1.0000000000000004,-7.275957614183426e-12,-1.4551915228366852e-11,8,8,0,0.0,447.61959426569564,False
large,175,24573.329589222474,24819.062885114698,245.7332958922234,0.8780976320165133,0.9904861266990169,0.11238849468250367,0.8780976320165133,0.9904861266990168,0.11238849468250356,2.220446049250313e-16,0.010000000000000009,1.0000000000000002,1.0000000000000002,-3.637978807091713e-12,-3.637978807091713e-12,8,8,0,0.0,345.92930982125534,False
large,176,24277.64247873005,24520.418903517348,242.7764247872983,0.8710359408029623,0.9893955982387939,0.11835965743583154,0.8710359408029623,0.9893955982387934,0.1183596574358311,2.220446049250313e-16,0.010000000000000231,1.0000000000000002,1.0000000000000002,-7.275957614183426e-12,-3.637978807091713e-12,8,8,0,0.0,421.73537554254796,False
large,177,23593.946009630872,23829.885469727193,235.93946009632054,0.8889426425129482,0.9971913852196561,0.10824874270670792,0.8889426425129482,0.9971913852196561,0.10824874270670792,2.220446049250313e-16,0.010000000000000897,1.0000000000000002,1.0000000000000007,-7.275957614183426e-12,-1.8189894035458565e-11,8,8,0,0.0,459.2446768019013,False
large,178,24954.481483361313,25204.026298194934,249.54481483362179,0.9148783050462874,0.9904566622522666,0.07557835720597916,0.9148783050462874,0.9904566622522666,0.07557835720597916,-3.3306690738754696e-16,0.010000000000000009,0.9999999999999997,1.0,7.275957614183426e-12,0.0,8,8,0,0.0,290.8631459382349,False
large,179,47082.1529211684,47552.97445038018,470.82152921177476,0.5978915662650512,0.7879737147536601,0.19008214848860883,0.5978915662650512,0.78797371475366,0.19008214848860872,-7.771561172376096e-16,0.010000000000001119,0.9999999999999992,1.000000000000001,3.637978807091713e-11,-5.093170329928398e-11,8,8,0,0.0,874.6139595547688,False
